FID,huc12num,areasqkm,Area,LATITUDE,LONGITUDE,pt30m,pt1h,pt2h,pt3h,pt6h,pt12h,pt24h,pt2d,pt3d,wp30m,wp1h,wp2h,wp3h,wp6h,wp12h,wp24h,wp2d,wp3d,WIPMP30m,WIPMP1h,WIPMP2h,WIPMP3h,WIPMP6h,WIPMP12h,WIPMP24h,WNPMP30m,WNPMP1h,WNPMP2h,WNPMP3h,WNPMP6h,WNPMP12h,WNPMP24h,STN30m,STN1h,STN2h,STN3h,STN6h,STN12h,STN24h
1,1.024E+11,122.09,47.6151,40.1164,-95.7567,36.17715227,42.42624364,61.40312006,77.17609851,100.8692179,114.1058994,178.1212112,265.1132959,308.939692,39.49692383,47.30214906,68.33227169,83.71584706,110.5585995,124.8552061,216.7256184,303.2903121,350.2330712,28.07835656,30.36948433,44.91853376,63.35138989,81.97309295,104.2809433,160.630546,15.56736716,18.94686677,30.62596059,44.25449808,62.63958644,85.44977253,155.9175955,30.65494769,33.85974697,49.98745096,68.71966023,89.84733442,114.1046934,195.444182
2,1.024E+11,104.39,40.7121,39.5756,-95.1108,32.36500145,42.25369803,49.99846214,65.7389915,82.04658043,114.1475015,189.8228355,234.8126646,279.8024937,37.29483338,45.39529506,53.49575673,70.45021977,90.98583474,118.8947121,205.6091249,290.786887,295.0569107,25.3957001,34.99658646,43.81146549,57.3296858,68.66426329,106.1763998,170.423096,14.86113064,21.03917822,28.71982757,39.56558512,53.08716771,82.81956075,147.2637366,29.26396914,37.5986113,46.87599177,61.43825562,76.14546858,110.5921051,184.5960395
3,1.024E+11,57.04,22.2456,39.15,-94.7833,33.36258441,43.22574164,50.66667667,64.82006994,103.588117,149.6535606,203.9103819,311.0666999,327.3396042,34.05015525,45.11685452,52.64250948,68.55415228,109.1662741,158.3245082,208.632301,330.3122738,345.057108,33.64362775,43.34499256,47.31713687,57.71314032,87.22679806,131.1555389,205.604831,17.47049982,25.35490316,30.15796027,39.35031155,64.1421733,103.9781249,167.9054426,34.33699062,45.24132263,49.16234871,61.03781458,91.92390809,138.7547086,210.3659882
4,1.025E+11,61.42,23.9538,40.1717,-103.2317,24.62893646,30.64852092,36.66810538,47.32884754,74.06070148,97.46631969,120.407057,152.0886039,165.5065962,30.0765786,34.872741,39.66890339,50.07921608,78.83371255,101.6431977,132.8211433,163.4446612,179.7241486,24.77192255,31.71258935,36.83154307,44.89060442,68.29431607,92.65049799,101.6710691,15.38050325,32.95668995,24.43123212,30.60951326,50.70871418,72.38634446,89.49925345,30.2511916,58.84002492,39.84571629,47.49928206,72.69569926,96.62099599,112.1534566
5,1.025E+11,123.2,48.048,40.155,-103.1417,25.82678416,31.57531019,37.32383621,47.34103376,73.09705901,97.20104715,119.8188584,153.8811262,167.2137759,30.36662321,35.41866238,40.47070154,50.57028961,79.35929268,102.5331206,134.642383,164.9899427,181.5832745,18.94749368,26.82346836,31.84847631,43.02850182,66.86330756,92.31568647,108.9991413,11.31338196,16.83654953,21.15786272,29.59990383,50.60919047,72.9249451,97.7129331,22.2780892,30.08842554,34.53370045,45.96358858,72.59149501,97.37976793,122.4840924
6,1.025E+11,106.85,41.6715,39.2833,-103.2667,27.66075112,33.64371364,39.62667616,43.77856721,55.23065884,65.55452998,73.06035287,81.79561956,101.6321071,33.8419435,38.63166301,43.42138252,47.49918502,56.28483273,67.41800855,75.28302157,87.99626806,110.1149296,20.49270729,29.85979236,35.30473634,39.43861555,55.00567513,65.02331313,71.0086737,12.73233846,19.18590658,23.70170607,27.55651915,39.08081838,50.07843172,58.37136151,25.07209726,34.28674516,38.68556765,42.79039302,56.05555481,66.87169112,73.16892547
7,1.025E+11,150.9,58.851,39.4833,-102.1667,28.76023779,35.45013907,47.64658215,60.75026026,85.25627201,104.6234858,149.2283246,163.5837903,165.5141078,32.63654234,42.30212197,58.19872399,74.30404649,100.0636728,115.5787409,158.3132037,170.0102719,181.70734,26.22365157,29.63102165,38.33000396,47.20858573,69.37778546,94.38152286,144.2028499,15.11188956,19.78536189,28.68460518,37.18444948,56.76935059,78.08056199,122.0427343,29.75807506,35.35825599,46.81883192,57.7411345,81.42739367,104.2643293,152.9817829
8,1.025E+11,69.74,27.1986,39.6569,-102.1183,31.82377805,37.90862217,47.63719013,57.7101546,82.12074931,97.78990575,157.6368162,166.0785851,174.5203539,33.36854781,40.37259314,48.56718159,61.73496124,87.49450543,102.7529664,167.2976259,173.5891442,179.8806624,31.72945928,36.90805633,46.89891758,53.55437776,75.25337066,90.26756473,146.6309371,16.90322146,22.00347863,29.30374465,36.90355659,55.91008408,71.04131361,124.1607075,33.26965068,39.30699288,47.8144962,57.28935329,80.1777444,94.84884942,155.6172489
9,1.025E+11,119.14,46.4646,40.0533,-101.5417,35.93367755,49.8982707,54.95565819,71.43800931,115.1748404,138.4170819,205.3995173,220.4140136,235.4285099,45.97926179,59.13274697,64.01444924,82.47053341,122.0184808,143.3933745,216.2467664,233.6894542,251.132142,24.67740929,41.88405896,43.65955299,56.45657782,107.1079863,136.6815618,195.0587825,16.03521328,27.77443451,31.15830197,41.97208781,79.1104126,106.0368508,163.8280124,31.57620203,49.63537665,50.85631454,65.17544557,113.4722976,141.59546,205.3599323
10,1.025E+11,98.65,38.4735,40.2331,-100.83,32.94270788,40.88226374,48.82181959,60.6690428,96.40124523,127.0095289,192.9181601,235.8395954,259.8909426,34.18068765,43.09682283,52.012958,62.47093832,108.5409657,130.7613056,206.122703,259.4331718,278.6607589,27.76338224,35.33579142,42.02527822,56.15329768,79.47136527,121.0596011,185.4960643,14.62906618,20.84421035,27.43103715,37.23635933,62.38340065,93.33669131,158.110943,28.80672408,37.2499026,44.7721746,57.82107371,89.47912147,124.6356209,198.1925919
11,1.025E+11,109.06,42.5334,40.2847,-100.1433,26.62293643,35.30187675,38.99248095,48.45200852,66.23785334,107.1982642,174.5615476,303.3473801,333.4893758,28.15499786,38.98036099,42.0110979,54.32688222,92.05739817,124.9574507,198.0632397,320.4649226,348.0267806,24.58329359,30.92789832,37.03620059,43.3398955,44.5880259,87.81001548,146.6245794,13.20250527,19.10970177,24.44779641,31.2945347,43.2031427,76.65254931,132.719586,25.99798036,34.15061045,39.90337139,48.59491836,61.96845832,102.3572141,166.3650421
12,1.025E+11,100.92,39.3588,40.3794,-99.4992,28.88675093,35.89625313,45.11194122,56.89734542,86.41985543,128.0223798,243.3736804,319.8701752,337.1071438,30.14402871,40.10043584,46.32896392,61.86061947,98.65404929,141.952891,254.5832863,331.0326291,346.7706703,26.66985794,29.2410284,43.64097437,49.79619576,71.14594987,108.7809834,224.0701898,14.13331682,18.27895436,27.45922568,34.86569936,56.62367178,90.32768415,186.9882709,27.83064684,32.66574868,44.81831356,54.14002172,81.21786377,120.6177787,234.3906917
13,1.025E+11,214.58,83.6862,40.1,-99.3667,28.69811997,37.31003859,42.77638851,56.23743725,82.81807419,144.7201401,245.3875405,293.2365724,293.9750966,31.51176239,42.92483497,45.68118958,59.96135544,84.24658585,146.8592253,248.4102692,300.5454997,307.0140339,25.28360317,31.25328026,38.60578299,50.88246043,82.7260602,144.2136206,244.5083689,14.09847434,20.12017163,25.25887115,34.93735721,58.6695697,109.5937293,197.4617445,27.76247699,35.95659367,41.22737223,54.25178395,84.15298473,146.345219,247.5202678
14,1.025E+11,97.09,37.8651,39.3686,-101.4467,30.2244646,44.20631875,47.56686327,62.71422904,96.6855839,115.6121255,143.7991521,179.7799248,196.2903586,33.41515798,46.04230223,54.85345524,71.29618182,102.3436129,122.7411361,149.9157487,188.4494787,210.0069773,25.89568063,30.3142036,38.62183956,51.94651195,88.78165662,105.361537,134.2773299,14.53906919,24.66155679,27.2877382,38.03107236,65.51946355,83.76828762,111.6782423,28.62939909,44.07160347,44.53817641,59.05498669,93.97714873,111.8584638,139.9889092
15,1.025E+11,133.99,52.2561,39.6978,-100.9708,30.03955513,36.3193669,46.91857393,58.62786321,72.49672608,91.09507303,129.4448278,157.0381037,169.7263274,31.01575139,40.04815072,48.45768436,61.81079641,80.04671764,98.46405962,137.5131922,173.6877815,188.9860018,29.15646785,32.96000347,45.73976541,55.64785919,63.24611639,89.39333254,129.4918946,15.28754729,20.33689919,28.94277648,37.78199338,48.68581662,72.35944179,109.7424114,30.1039664,36.34389306,47.24020637,58.66900662,69.83272617,96.62465962,137.5631927
16,1.025E+11,129.35,50.4465,39.3061,-102.2631,26.42773932,34.26998045,44.54439879,59.18098631,86.4404355,108.809912,143.3828339,143.8339477,144.2850615,27.72443369,37.66214723,47.5818945,60.92730968,95.89354573,118.6368215,149.6855031,151.9036708,154.1218384,22.81986026,27.46452545,38.81042764,56.17053255,71.18178484,95.88991209,141.9683858,12.15709655,16.88949674,25.39952183,37.24041801,55.05348574,78.29449682,118.2351237,23.93953168,30.18306365,41.45692216,57.8280229,78.96621182,104.5499824,148.2088802
17,1.025E+11,138.59,54.0501,39.8086,-101.0778,28.29571979,37.34087742,48.12135613,62.61406697,86.20708668,94.31962063,133.6789232,157.6280964,169.0956478,30.04074239,43.99818273,49.7413363,65.4695847,91.70603487,101.1068514,143.0141756,167.396281,176.4887503,26.2600401,25.35980535,45.88553035,57.41242215,77.04040146,82.51864417,114.0108288,14.15791561,16.72050409,29.05920326,38.65891251,57.13693162,66.24267014,97.30484921,27.87952049,29.8810694,47.43024262,60.0307186,81.95462826,88.45667782,121.9725915
18,1.025E+11,118.72,46.3008,39.6197,-101.5442,27.41028528,35.00713615,45.88541327,63.27833248,96.61570746,115.8287771,160.1408563,174.8491779,189.5574994,29.60813543,37.44561714,49.44680834,66.10417409,101.615637,124.1416824,177.0961095,200.8109766,201.7010305,25.57462274,30.66797117,45.00118439,61.24752312,88.02580312,101.6867522,133.493215,14.02883579,18.35622595,29.71094649,41.20396189,64.54559708,81.6155741,117.7710448,27.62528321,32.80420032,48.49395006,63.9826742,92.58119918,108.9846998,147.6270926
19,1.025E+11,81.94,31.9566,39.8167,-101.1333,30.28796569,47.79787224,49.37070815,66.66549207,92.00335975,99.00344683,141.8680656,166.9636254,176.5284137,32.09166282,41.28737402,50.48308522,69.31471762,94.25842235,102.0089994,147.4102908,176.0073008,187.2932858,25.65092724,38.50922917,47.14241255,62.44838696,89.16780902,94.65377078,136.8139171,13.80364601,23.44934148,29.53604322,41.81699642,63.69311354,73.0385586,113.4122459,27.17848126,41.90183777,48.20458364,64.93002862,91.35337041,97.52727562,142.1586967
20,1.025E+11,146.84,57.2676,40.1306,-99.8278,27.9514626,33.36973172,38.78800083,49.06353046,79.51869904,121.0454533,221.4294699,334.7064535,353.6278485,28.55698032,34.29627525,40.03557018,52.00305447,85.60361516,128.0727649,235.7502262,348.2677849,365.62642,27.37872683,33.01728331,36.90543563,44.78112959,71.11263721,112.5135705,206.898254,14.20479418,24.73947029,23.33819535,30.56617919,53.37194427,89.14980413,175.7299311,27.97183727,44.21170064,38.09245454,47.4640838,76.55430612,119.0455624,220.2792167
21,1.025E+11,152.93,59.6427,39.3925,-101.0689,32.54335346,46.14710579,53.52462308,69.78785178,95.53541548,116.9575217,146.0285919,179.4437291,199.1614573,35.44909062,54.60693467,59.15104077,76.55334072,106.4652137,128.8370703,153.2394391,185.480194,207.8323216,30.87060035,33.31545281,49.02911924,57.98175068,73.46976347,85.98048813,119.0695064,17.07661555,22.05983237,33.19641329,40.9592204,57.08149836,70.92833488,99.67940087,33.62698041,39.42294374,54.18297718,63.60271311,81.87512483,94.71365358,124.9491222
22,1.025E+11,144.71,56.4369,39.4,-101.05,33.07521319,40.71687028,53.76038191,65.43559337,79.07895627,92.41403562,124.2262076,156.4278003,173.4035917,34.62896535,52.88379985,55.22069189,71.41067924,91.22499646,112.9305594,146.0798133,176.3354037,197.2255959,32.11818588,30.35294156,52.75010954,58.28093664,70.97396182,77.50666429,106.2566774,17.07661689,22.05983378,33.19641499,40.95922224,57.08150037,70.92833681,99.67940292,33.62698041,39.42294374,54.18297718,63.60271311,81.87512483,94.71365358,124.9491222
23,1.025E+11,134.14,52.3146,39.9167,-98.7,33.65601817,47.71161946,48.33258028,60.96158285,78.10248141,97.98518687,155.1451545,200.867832,226.5602092,36.21381685,42.93767882,49.66154078,62.18407297,81.46961928,103.2600425,165.6823952,210.3136556,232.3055577,30.20648621,37.29664505,44.98494229,58.55473427,74.70971328,90.44373328,143.3608953,16.50539286,23.81760168,28.31886081,38.46458711,54.33146121,71.37688399,122.135272,32.50212648,42.56422601,46.22185559,59.72895877,77.93058284,95.31260837,153.0977657
24,1.025E+11,133.8,52.182,39.8775,-98.3036,32.4485735,42.47581316,48.50408175,58.48502405,73.10956687,85.17337821,107.8443402,156.5441858,195.0547834,34.20771399,44.89842689,49.9148842,61.12331753,77.3559847,95.03986558,144.0037854,189.2123542,222.2153884,28.93878049,36.20791415,45.33349132,53.16268387,62.5446263,69.76871908,68.72091346,15.49254498,21.41638783,28.58244357,35.78040713,46.13740605,58.30018358,73.20449136,30.50764393,38.27303741,46.65207314,55.56088349,66.17740143,77.85073015,91.76255013
25,1.025E+11,71.47,27.8733,39.5514,-97.6508,31.7412718,42.5964984,43.4884907,52.08361196,65.62157806,80.88527254,101.3815497,174.3310826,211.2130786,32.90165729,45.0405249,46.00943925,54.50240046,68.97214819,83.45336768,101.8130473,179.2292443,217.3427124,30.70130421,34.8911387,41.50281481,50.09071749,60.3953638,75.3440039,101.5008921,16.167238,25.38573039,26.90855734,33.76336576,44.26403484,58.22234256,81.3263869,31.82367096,45.35207055,43.90865735,52.41695499,63.47908882,77.7361646,101.9328976
26,1.025E+11,99.69,38.8791,39.8186,-97.6378,31.68847833,37.88817382,44.0878693,54.70397773,74.11675409,95.73497284,115.9804501,174.820665,215.1242201,33.46488066,39.6367116,45.80854253,57.53344001,78.99097574,102.9104809,123.1407551,180.6079051,236.2720603,31.13852989,40.44524975,44.55419958,54.12617233,76.15002107,96.62754403,114.4980517,16.69966598,28.94529997,28.36282146,36.65973078,56.58196482,77.78571045,96.98160856,32.88410304,51.72714614,46.29307287,56.92574869,81.15795869,103.8699519,121.5668376
27,1.025E+11,68.55,26.7345,39.5639,-97.2881,33.78691559,39.72340093,45.65988627,52.59957119,66.55408122,83.27207316,107.3796097,171.1498801,207.4615106,34.72463879,40.9096079,47.094577,54.78492357,68.6362479,88.11882588,110.4488139,181.1758367,215.7657335,32.49213434,41.73254879,44.86681206,52.30809357,66.01012086,80.29866984,103.9412501,16.96748346,29.82549478,28.36244002,35.09606799,47.47211437,63.64533079,85.3023789,33.39392214,53.27736893,46.27658341,54.48133594,68.07526956,84.97235913,106.9121765
28,1.026E+11,99.58,38.8362,38.8178,-102.3608,27.78723155,35.79974144,43.00687421,53.45969857,76.62811889,91.97079631,104.5916294,122.0943036,128.411926,28.77816411,37.39652435,45.98285934,56.31674797,80.92264795,109.9229147,123.2466178,131.5090995,139.635093,25.808695,35.24956893,37.90138237,49.63685523,70.69526226,75.21152938,86.42123208,13.57393389,20.60462783,24.82827967,33.67409213,52.04981412,67.31822151,81.24054414,26.72907011,36.82181239,40.52407822,52.28960022,74.65729164,89.89234475,101.835344
29,1.026E+11,133.45,52.0455,38.8972,-100.1136,29.22230679,36.94794968,42.00117941,50.53255271,76.91432527,111.4063613,155.7981035,169.3333198,182.84174,31.32062167,39.21269173,44.36040844,52.2688277,81.54256434,116.3709841,171.1675334,185.5871854,196.2606983,27.64255496,34.46064095,39.29776119,48.39238207,73.45797702,104.8720225,135.4446636,15.0455533,20.46505714,25.42905794,32.23477637,54.29496554,82.03545582,118.7116604,29.62743537,36.57292224,41.50513775,50.05512179,77.87823395,109.5454543,148.8062336
30,1.026E+11,121.04,47.2056,38.7978,-99.7231,29.54051648,35.52081437,46.69560918,57.43934473,86.08716205,126.0341918,233.865399,261.4273139,299.6935102,30.7387301,36.47157716,49.52216843,59.4586412,89.92160158,137.0637543,250.0537442,278.4797782,318.5977544,27.21013129,34.84290095,42.26881231,54.04566986,81.65460073,120.5903517,218.0248533,14.3784856,20.01887633,27.46454666,36.02822535,59.46343918,98.20966632,185.9712443,28.31382052,35.77551847,44.82741053,55.94566073,85.29160794,131.1435103,233.1167036
31,1.026E+11,108.71,42.3969,38.65,-98.6667,30.68115237,37.12223852,43.56332467,50.8581918,72.96767379,95.06553909,147.2749147,254.4886423,259.7923415,32.84347137,39.29615006,45.74882874,54.69367737,81.53623904,107.5956592,166.6909272,291.5123643,300.7069013,28.1723897,35.88458881,39.88389614,45.84563911,64.53601642,81.6713818,124.1555476,15.31503246,23.62525439,25.66177788,31.75060063,50.27673028,69.22288943,112.1043036,30.15789835,42.22026605,41.88480902,49.30310154,72.11445546,92.43608406,140.5236146
32,1.026E+11,154.4,60.216,38.9722,-97.0239,33.39322651,45.70437724,48.23194558,60.63880468,95.54033393,117.6999057,145.2826694,214.2154321,249.4952917,37.11086547,44.61531623,52.11976698,63.92170544,101.244216,126.6146012,160.4395829,234.965243,262.2752379,27.08978839,36.67317741,41.7989761,55.41673052,83.82849369,101.2434291,125.9469484,15.28840711,20.03216433,27.67334288,37.61964209,61.93248656,81.56084114,110.957732,30.10567105,35.79931521,45.1682566,58.41691543,88.83316368,108.9116964,139.086623
33,1.026E+11,104.5,40.755,38.9267,-97.2131,32.05571973,39.32545991,46.59520008,57.79629224,86.81873012,112.4949748,140.4983334,195.3179272,250.6796777,36.16849271,43.27861373,50.38873474,60.02546486,96.47509034,116.2190811,150.8343344,208.1931033,278.1766798,30.40392635,43.94990369,44.58557643,55.61474743,71.66374785,105.3708971,127.8774002,17.42100139,27.0653957,29.54050942,37.19668244,55.5196537,81.5218019,109.5207121,34.30477299,48.36792525,48.21549817,57.75977901,79.63450442,108.8591633,137.2849206
